City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Sao Filipe,CV,14.8961,-24.4956,77.18,68,70,10.87,broken clouds
204,Ravar,IR,31.2656,56.8055,56.86,40,64,1.88,broken clouds
205,Sycow,PL,51.3081,17.7198,45.75,86,100,10.45,overcast clouds
206,North Bend,US,43.4065,-124.2243,46.31,81,100,6.91,overcast clouds
207,Laguna,US,38.421,-121.4238,50.14,84,100,5.75,overcast clouds
208,Cacequi,BR,-29.8836,-54.825,56.07,83,0,11.61,clear sky
209,Bunia,CD,1.5667,30.25,60.53,94,100,1.34,light rain
210,Yerbogachen,RU,61.2767,108.0108,17.89,91,100,10.51,light snow
211,Flinders,AU,-34.5833,150.8552,72.37,64,43,12.62,scattered clouds
212,Vao,NC,-22.6667,167.4833,74.82,84,73,14.23,broken clouds
213,Samarai,PG,-10.6167,150.6667,82.31,77,100,12.03,overcast clouds
214,Ocos,GT,14.5094,-92.1933,78.84,80,94,4.38,overcast clouds
215,Neuquen,AR,-38.9516,-68.0591,73.29,49,0,0,clear sky
216,Husavik,IS,66.0449,-17.3389,40.12,97,100,10.31,overcast clouds
217,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,60,40,2.24,scattered clouds
218,Buala,SB,-8.145,159.5921,81.46,81,100,12.24,light rain
219,Teya,RU,60.3778,92.6267,22.86,88,100,9.57,overcast clouds
220,Vila Velha,BR,-20.3297,-40.2925,71.94,82,40,6.91,scattered clouds
221,Vrangel,RU,42.7297,133.0839,51.82,82,51,8.08,broken clouds
222,Torbay,CA,47.6666,-52.7314,38.75,79,75,24.16,light rain
223,Maceio,BR,-9.6658,-35.7353,74.64,94,75,3.44,broken clouds
224,Inhambane,MZ,-23.865,35.3833,77.27,83,94,9.17,light rain
225,Kanepi,EE,57.982,26.7627,50.92,91,100,9.75,overcast clouds
226,Hami,CN,42.8,93.45,53.87,23,10,4.09,clear sky
227,Sambava,MG,-14.2667,50.1667,74.08,74,97,6.17,light rain
228,Pacific Grove,US,36.6177,-121.9166,51.73,87,40,10,scattered clouds
229,Arlit,NE,18.7369,7.3853,69.91,19,0,5.97,clear sky
230,Antofagasta,CL,-23.65,-70.4,61.88,78,20,1.97,few clouds
231,Manutuke,NZ,-38.6833,177.9167,61.23,99,100,4.18,overcast clouds
232,Moose Factory,CA,51.2585,-80.6094,26.6,80,100,8.05,overcast clouds
233,Digby,CA,44.6169,-65.7655,42.58,56,58,23.09,broken clouds
234,Lahan,NP,26.7296,86.4951,78.82,53,5,3.13,clear sky
235,Steinbach,DE,50.1667,8.5667,55.63,95,20,8.05,light rain
236,Naze,JP,28.3667,129.4833,76.12,73,99,14.9,overcast clouds
237,Bonavista,CA,48.6499,-53.1147,36.64,89,100,33.62,light rain
238,Geraldton,AU,-28.7667,114.6,72.01,49,84,11.5,broken clouds
239,Lagoa,PT,39.05,-27.9833,64.92,75,65,17.9,broken clouds
240,Abnub,EG,27.2696,31.1511,59.22,69,96,6.35,overcast clouds
241,Meybod,IR,32.2501,54.0166,51.82,22,99,4.97,overcast clouds
242,Iwanai,JP,42.9744,140.5089,51.96,55,22,11.77,few clouds
243,Soyo,AO,-6.1349,12.3689,78.28,83,100,9.28,overcast clouds
244,Kavieng,PG,-2.5744,150.7967,84.58,72,84,8.32,light rain
245,Quatre Cocos,MU,-20.2078,57.7625,75.31,64,71,11.97,broken clouds
246,Henties Bay,NA,-22.116,14.2845,58.96,93,6,3.24,clear sky
247,Waipawa,NZ,-41.4122,175.5153,64.49,63,27,10.49,scattered clouds
248,Luderitz,NA,-26.6481,15.1594,56.91,84,25,10.51,scattered clouds
249,Nuuk,GL,64.1835,-51.7216,18.21,67,40,19.57,scattered clouds
250,Anchorage,US,61.2181,-149.9003,35.92,86,100,5.75,overcast clouds
251,Kabalo,CD,-6.05,26.9167,68.4,99,100,1.54,heavy intensity rain
252,Iqaluit,CA,63.7506,-68.5145,15.53,85,100,3.44,light snow
253,Broken Hill,AU,-31.95,141.4333,84.38,25,100,13.73,overcast clouds
254,Bathsheba,BB,13.2167,-59.5167,83.01,83,40,26.46,scattered clouds
255,Pandan,PH,14.0453,124.1694,84.78,76,99,9.98,overcast clouds
256,Dunaszekcso,HU,46.0866,18.7587,45.72,91,100,4.76,overcast clouds
257,Plettenberg Bay,ZA,-34.0527,23.3716,59.09,79,26,9.08,scattered clouds
258,Mysliborz,PL,52.9238,14.8679,51.85,73,100,9.82,overcast clouds
259,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,83,34,7.81,scattered clouds
260,Jilib,SO,0.4883,42.7854,77.29,85,41,5.08,light rain
261,Sumbawanga,TZ,-7.9667,31.6167,64.2,82,75,0,broken clouds
262,Newport,GB,51.5877,-2.9984,52.77,89,93,18.34,overcast clouds
263,Bollnas,SE,61.3482,16.3946,43.81,99,100,3.62,light rain
264,Spasskoye,RU,44.6108,132.7969,51.8,43,2,16.89,clear sky
265,Nasirabad,IN,26.3,74.7333,76.96,44,18,4.23,few clouds
266,Verkhoyansk,RU,67.5447,133.385,-9.9,97,99,2.8,overcast clouds
267,Tambopata,PE,-12.7333,-69.1833,74.08,60,13,2.28,few clouds
268,Acaponeta,MX,22.4964,-105.3594,69.91,94,3,1.23,clear sky
269,Morondava,MG,-20.2833,44.2833,80.56,71,16,1.68,few clouds
270,Buckeye,US,33.3703,-112.5838,71.22,45,0,8.05,clear sky
271,Conakry,GN,9.538,-13.6773,81.09,75,96,4.65,overcast clouds
272,Hovd,MN,48.0056,91.6419,42.73,45,100,4.38,overcast clouds
273,Iracoubo,GF,5.4802,-53.2011,75.6,92,100,9.22,overcast clouds
274,East London,ZA,-33.0153,27.9116,67.14,94,40,4.61,scattered clouds
275,Syedove,UA,47.0768,38.156,43,87,66,11.92,broken clouds
276,Honningsvag,NO,70.9821,25.9704,37.15,81,75,4.61,broken clouds
277,Tongren,CN,27.7172,109.1853,79.25,42,0,3.22,clear sky
278,Mporokoso,ZM,-9.3727,30.125,64.36,87,100,0.81,light rain
279,Arica,CL,-18.475,-70.3042,63.95,77,0,3.44,clear sky
280,Muisne,EC,0.6,-80.0333,73.08,82,100,7.67,overcast clouds
281,Weihai,CN,37.5017,122.1136,61.97,70,100,6.71,overcast clouds
282,Brigantine,US,39.4101,-74.3646,55,52,0,9.22,clear sky
283,Urumqi,CN,43.801,87.6005,36.55,93,100,11.18,overcast clouds
284,Marawi,PH,7.9986,124.2928,79.18,76,67,4.92,broken clouds
285,Havoysund,NO,70.9963,24.6622,37.63,83,26,11.05,scattered clouds
286,Trapani,IT,37.8333,12.6667,58.28,88,0,6.91,clear sky
287,Hofn,IS,64.2539,-15.2082,42.24,83,100,17.05,overcast clouds
288,Maragogi,BR,-9.0122,-35.2225,75.36,84,5,3.4,clear sky
289,Maumere,ID,-8.6199,122.2111,85.89,62,97,2.26,overcast clouds
290,Ixtapa,MX,20.7,-105.2,72.37,93,53,2.26,broken clouds
291,Srednekolymsk,RU,67.45,153.6833,-11.07,99,100,4.18,overcast clouds
292,Batemans Bay,AU,-35.7167,150.1833,70.11,57,6,13.42,clear sky
293,Mattru,SL,7.6244,-11.8332,72.37,97,80,2.19,light rain
294,Liwale,TZ,-9.7667,37.9333,71.8,74,100,6.53,overcast clouds
295,San Antero,CO,9.3741,-75.7589,76.75,88,100,6.06,overcast clouds
296,Westport,US,41.1415,-73.3579,49.82,42,0,4.61,clear sky
297,Lander,US,42.833,-108.7307,46.99,69,100,0,overcast clouds
298,Gornoye Loo,RU,43.7129,39.6049,53.38,60,96,3.98,overcast clouds
299,Heze,CN,35.2431,115.4411,61.45,62,100,1.05,overcast clouds
300,Belaya Gora,RU,68.5333,146.4167,-3.86,98,100,5.46,overcast clouds
301,Tsabong,BW,-26.0217,22.401,69.73,55,5,3.56,clear sky
302,Olafsvik,IS,64.8945,-23.7142,42.35,85,100,13.47,overcast clouds
303,Tuatapere,NZ,-46.1333,167.6833,53.96,80,97,12.1,overcast clouds
304,Biak,ID,-0.9131,122.8766,83.64,67,100,1.32,overcast clouds
305,Caravelas,BR,-17.7125,-39.2481,70.03,85,100,2.28,light rain
306,Khasan,RU,42.4308,130.6434,55.76,40,0,3.78,clear sky
307,Ostrovnoy,RU,68.0531,39.5131,35.44,84,95,4.97,overcast clouds
308,Thompson,CA,55.7435,-97.8558,5.16,85,100,10.36,light snow
309,Banda Aceh,ID,5.5577,95.3222,84.07,68,75,1.1,broken clouds
310,Zaykovo,RU,57.5613,62.7568,32.63,89,100,8.16,overcast clouds
311,Lasa,IT,46.6166,10.7002,41.88,93,68,2.66,broken clouds
312,Chirongui,YT,-12.9319,45.1483,80.53,74,42,14.45,scattered clouds
313,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,34,0,24.16,clear sky
314,Asau,RO,46.4333,26.4,34.72,88,9,4.03,clear sky
315,Adrar,MR,20.5022,-10.0711,73.99,18,95,9.33,overcast clouds
316,Kandete,TZ,-9.15,33.8,64.24,65,31,2.06,scattered clouds
317,Severo-Yeniseyskiy,RU,60.3725,93.0408,19.24,90,100,10.49,overcast clouds
318,Tanout,NE,14.9709,8.8879,70.02,22,25,11.12,scattered clouds
319,Providencia,MX,28.7167,-111.5833,70.09,77,0,6.44,clear sky
320,Tabatinga,BR,-4.2525,-69.9381,77.09,27,75,4.61,broken clouds
321,Jamestown,US,42.097,-79.2353,38.84,75,0,9.22,clear sky
322,Karaton,ID,-6.3424,106.1045,79.93,79,97,4,light rain
323,Arroyo,ES,41.6096,-4.7969,51.6,91,0,9.22,clear sky
324,Asfi,MA,32.2994,-9.2372,63.16,77,16,5.17,few clouds
325,Cayenne,GF,4.9333,-52.3333,75.24,94,100,1.14,overcast clouds
326,Karibib,NA,-21.9333,15.8333,61.5,62,0,1.99,clear sky
327,Yar-Sale,RU,66.8333,70.8333,9.84,96,94,7.81,overcast clouds
328,Zarechnyy,RU,53.2036,45.1923,36.32,36,100,8.5,overcast clouds
329,Podor,MR,16.6527,-14.9587,76.95,61,0,2.3,clear sky
330,Pestravka,RU,52.405,49.9583,33.89,79,99,10.98,overcast clouds
331,Cidreira,BR,-30.1811,-50.2056,61.72,87,95,8.5,overcast clouds
332,Ouallam,NE,14.3188,2.0866,74.73,15,47,10.36,scattered clouds
333,Cherskiy,RU,68.75,161.3,-10.12,100,99,2.46,overcast clouds
334,Tripoli,LY,32.8752,13.1875,65.89,49,0,5.59,clear sky
335,Siderno,IT,38.2779,16.302,55.33,69,4,3.8,clear sky
336,Skjervoy,NO,70.0311,20.9714,33.8,73,0,20.04,clear sky
337,Saint George,US,37.1041,-113.5841,57.79,78,40,11.5,light rain
338,Tasiilaq,GL,65.6145,-37.6368,30.81,93,100,10.65,snow
339,Concarneau,FR,47.875,-3.9225,57.49,82,32,18.25,scattered clouds
340,Taki,IN,22.5861,88.9214,78.75,51,0,5.59,clear sky
341,Sitka,US,57.0531,-135.33,35.49,55,100,5.75,overcast clouds
342,Brownsville,US,25.9018,-97.4975,78.91,91,0,5.75,clear sky
343,Eirunepe,BR,-6.6603,-69.8736,75.94,61,93,2.46,overcast clouds
344,Poso,ID,-1.3959,120.7524,86.63,60,89,4.36,overcast clouds
345,Yarmouth,US,41.7057,-70.2286,47.97,58,0,25.01,clear sky
