,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
654,Fontem,CM,65.19,overcast clouds,5.4685,9.8818,Vista Palace Hotel
655,Anjozorobe,MG,63.64,clear sky,-18.4,47.8667,Mandritsara
657,Ibra,OM,77.4,scattered clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
658,Lovington,US,63.18,few clouds,32.944,-103.3485,Comfort Inn & Suites Lovington
659,Sokoni,TZ,76.86,light rain,-6.4333,39.55,Ujamaa Beach Resort
666,Port Shepstone,ZA,68.72,clear sky,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
667,Mbanza-Ngungu,CD,67.15,overcast clouds,-5.25,14.8667,Hotel Full Business
668,San Juan Del Sur,NI,77.95,broken clouds,11.2529,-85.8705,Nuestra Casa
672,Bilma,NE,66.65,clear sky,18.6853,12.9164,Expeditions Ténére voyages
678,Ibiapina,BR,66.76,overcast clouds,-3.9233,-40.8894,Hotel Pinheiro
682,Byron Bay,AU,70.95,scattered clouds,-28.65,153.6167,Backpackers Inn
683,Acapulco,MX,78.89,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
684,Porbandar,IN,75.18,haze,21.6422,69.6093,Lords Inn Porbandar
685,Naxos,GR,62.64,clear sky,37.1056,25.3764,Galaxy Hotel Naxos
686,Cuamba,MZ,73.81,broken clouds,-14.8031,36.5372,Hotel Vision
687,Port-Gentil,GA,77.9,overcast clouds,-0.7193,8.7815,Fengshui Residence
690,Santiago,CL,61.86,overcast clouds,-33.4569,-70.6483,Hotel Panamericano
695,Tura,IN,76.35,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
697,Lamu,KE,77.22,few clouds,-2.2717,40.902,Lamu House
698,Mahon,ES,68.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
700,Harper,LR,77.23,light rain,4.375,-7.7169,Screensaver
701,Puerto Narino,CO,75.0,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
